 11,DEP,AAR1065,A330,HL7747,RKSS,2000,2134,RJTT,2130,,DLA,Y,038,,"DGA3025 FF RKSSZPZX RKSSZTZX RKRRZQZX 180508 RKSSAARO  (FPL-AAR1065-IS -A333/H-SDE1E2E3FGHIJ5M1RWY/LB1D1 -RKSS1100 -N0466F390 EGOBA G597 LANAT/N0464F390 Y71 DIIVA Y21 ADDUM DCT -RJTT0130 RJBB -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7747 EET/RJJJ0032 SEL/GQMP  CODE/71BF47 OPR/AAR RMK/TCAS II EQUIPPED)"
 12,ARR,AAR107,A321,HL8256,RJAA,0900,,RKSI,1138,1138,ARR,Y,38,1148,"DGA9302 FF RKSSZTZX RKSIZPZX RKSIZTZX RKRRZQZX 171915 RKSSAARO  (FPL-AAR107-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RJAA0000 -N0455F260 TETRA4 TETRA Y16 SAPRA G585 GUKDO GUKDO1P -RKSI0219 RKSS -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL8256 EET/RKRR0132 SEL/ADBE  CODE/71C256 OPR/AAR RMK/TCAS II EQUIPPED)"
 13,ARR,AAR1075,A330,HL7793,RJTT,1220,,RKSS,1449,1500,ARR,Y,038,,"DGA0922 FF RKSSZPZX RKSSZTZX RKRRZQZX RKSIZTZX 180128 RJTTANAX  (FPL-AAR1075-IS -A333/H-SDE1E2E3FGHIJ5M1RWY/LB1D1 -RJTT0320 -N0483F300 MITOH Y18 SILVI Y182 OZAKA Y16 SAPRA G585 KPO/N0482F300  G585 GUKDO GUKDO1H -RKSS0207 RKSI -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7793 EET/RKRR0125 SEL/BPFH  CODE/71BF93 OPR/AAR RMK/TCAS II EQUIPPED)"
 14,DEP,AAR108,A321,HL8266,RKSI,1920,2011,RJAA,2104,,DLA,Y,46,1926,"DGA3458 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 180539 RKSSAARO  (FPL-AAR108-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RKSI0950 -N0459F350 EGOBA G597 KAE B467 TENAS L512 GTC Y303 KAMOH Y301  SHELY/N0463F340 Y30 SWAMP/N0456F330 Y30 MELON -RJAA0144 RJTT -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL8266 EET/RJJJ0039 SEL/KPBC  CODE/71C266 OPR/AAR RMK/TCAS II EQUIPPED)"
 15,DEP,AAR1085,A330,HL7793,RKSS,0850,0851,RJTT,1011,,DEP,Y,038,,"DGA6791 FF RKSSZPZX RKSSZTZX RKRRZQZX 171141 RKSSAARO  (FPL-AAR1085-IS -A333/H-SDE1E2E3FGHIJ5M1RWY/LB1D1 -RKSS2340 -N0461F390 EGOBA G597 LANAT/N0458F390 Y71 DIIVA Y21 ADDUM DCT -RJTT0131 RJAA -PBN/A1B1C1D1L1O1S1S2 DOF/150117 REG/HL7793 EET/RJJJ0032 SEL/BPFH  CODE/71BF93 OPR/AAR RMK/TCAS II EQUIPPED)"
 16,ARR,AAR111,A333,HL7740,RJBB,1250,,RKSI,1450,1450,ARR,Y,49,1501,"DGA0240 FF RKSSZTZX RKSIZPZX RKSIZTZX RKRRZQZX 180026 RJTTANAX  (FPL-AAR111-IS -A333/H-SDE1E2E3FGHIJ5M1RWY/LB1D1 -RJBB0350 -N0480F360 MAIKO DCT WENDY DCT SHION DCT SOUJA Y324 STAGE Y38 SAPRA  G585 GUKDO GUKDO1P -RKSI0141 RKSS -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7740 EET/RKRR0051 SEL/AQEJ  CODE/71BF40 OPR/AAR RMK/TCAS II EQUIPPED)"
 17,ARR,AAR1115,A321,HL7789,RJBB,1110,,RKSS,1300,1312,ARR,Y,038,,"DGA0423 FF RKSSZTZX RKSSZPZX RKRRZQZX 172256 RJTTANAX  (FPL-AAR1115-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RJBB0210 -N0463F360 MAIKO DCT WENDY DCT SHION DCT SOUJA Y324 STAGE Y38 SAPRA  G585 GUKDO GUKDO1H -RKSS0138 RKSI -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL7789 EET/RKRR0052 SEL/BFJK  CODE/71BF89 OPR/AAR RMK/TCAS II EQUIPPED)"
 18,DEP,AAR112,A333,HL7740,RKSI,1000,1022,RJBB,1113,,DEP,Y,41,1002,"DGA8541 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 171708 RKSSAARO  (FPL-AAR112-IS -A333/H-SDE1E2E3FGHIJ5M1RWY/LB1D1 -RKSI0100 -N0468F370 EGOBA G597 LANAT/N0467F370 G597 JEC Y361 SAEKI Y36 ALISA  ALISAC -RJBB0113 RJGG -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7740 EET/RJJJ0036 SEL/AQEJ  CODE/71BF40 OPR/AAR RMK/TCAS II EQUIPPED)"
 19,DEP,AAR1125,A321,HL7789,RKSS,0830,0843,RJBB,0940,,DEP,Y,210,,"DGA6739 FF RKSSZPZX RKSSZTZX RKRRZQZX 171137 RKSSAARO  (FPL-AAR1125-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RKSS2330 -N0456F350 EGOBA G597 LANAT/N0456F350 G597 JEC Y361 SAEKI Y36 ALISA  ALISAC -RJBB0110 RJGG -PBN/A1B1C1D1O1S1S2 DOF/150117 REG/HL7789 EET/RJJJ0034 SEL/BFJK  CODE/71BF89 OPR/AAR RMK/TCAS II EQUIPPED)"
 20,ARR,AAR113,B744,HL7428,RJBB,1700,,RKSI,1858,1858,ARR,Y,32,1911,"DGA2903 FF RKSSZTZX RKSIZPZX RKSIZTZX RKRRZQZX 180458 RJTTANAX  (FPL-AAR113-IS -B744/H-SDE1E2E3FGHIJ5M1RWXY/LB1D1 -RJBB0800 -N0481F360 MAIKO DCT WENDY DCT SHION DCT SOUJA Y324 STAGE Y38 SAPRA  G585 GUKDO GUKDO1P -RKSI0141 RKSS -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL7428 EET/RKRR0049 SEL/DSEF  CODE/71BC28 OPR/AAR RMK/TCAS II EQUIPPED)"
 21,DEP,AAR114,B744,HL7428,RKSI,1410,1433,RJBB,1519,,DEP,Y,33,1413,"DGA0557 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 172310 RKSSAARO  (FPL-AAR114-IS -B744/H-SDE1E2E3FGHIJ5M1RWXY/LB1D1 -RKSI0510 -N0489F370 EGOBA G597 LANAT/N0488F370 G597 JEC Y361 SAEKI Y36 ALISA  ALISAC -RJBB0109 RJGG -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL7428 EET/RJJJ0033 SEL/DSEF  CODE/71BC28 OPR/AAR RMK/TCAS II EQUIPPED)"
